Order,Species_common,Species_scientific,Superorder,Mitochondrial_genome_available,COX1_present,Genome_source,Notes,Genome Data,comments,NCBI Reference Sequence
Monotremata,Platypus,Ornithorhynchus anatinus,Australidelphia,Yes,Yes,NCBI,Monotreme,https://www.ncbi.nlm.nih.gov/nuccore/NC_000891.1,,
Didelphimorphia,Virginia opossum,Didelphis virginiana,Ameridelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/NC_001610.1,,
Paucituberculata,Shrew opossum,Caenolestes fuliginosus,Ameridelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/45685994,,
Microbiotheria,Monito del monte,Dromiciops gliroides,Australidelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/NC_005826.1,,
Dasyuromorphia,Tasmanian devil,Sarcophilus harrisii,Australidelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/NC_018788.1,,
Peramelemorphia,Bandicoot,Perameles nasuta,Australidelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/666876635,partial genome but COX1 present,
Notoryctemorphia,Marsupial mole,Notoryctes typhlops,Australidelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/56548691,,NC_006522.1
Diprotodontia,Kangaroo,Macropus rufus/ Osphranter rufus,Australidelphia,Yes,Yes,NCBI,Marsupial,https://www.ncbi.nlm.nih.gov/nuccore/1293000160,,
Afrosoricida,Lesser hedgehog tenrec,Echinops telfairi,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_002631.2,,
Macroscelidea,East African long-eared elephant shrew,Galegeeska rufescens/ elepahntulus refescens,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_073532.1,,
Tubulidentata,Aardvark,Orycteropus afer,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_002078.1,,
Hyracoidea,Rock hyrax,Procavia capensis,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_004919.1,,
Proboscidea,African elephant,Loxodonta africana,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_000934.1,,
Sirenia,Manatee,Trichechus manatus,Afrotheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_010302.1,,
Cingulata,Armadillo,Dasypus novemcinctus,Xenarthra,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_001821.1,,
Pilosa,Brown-troated Sloth,Bradypus variegatus,Xenarthra,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_028501.1,,
Scandentia,common Tree shrew,Tupaia glis,Euarchontoglires,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_068695.1,,
Dermoptera,Sunda flying lemur,Galeopterus variegatus,Euarchontoglires,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_004031.1,,
Primates,Human,Homo sapiens,Euarchontoglires,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/HQ287898.1,,
Lagomorpha,Rabbit,Oryctolagus cuniculus,Euarchontoglires,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_001913.1,,
Rodentia,house Mouse,Mus musculus,Euarchontoglires,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/EU450583.1,,
Eulipotyphla,western European Hedgehog,Erinaceus europaeus,Laurasiatheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_002080.2,,
Chiroptera,large flying fox,Pteropus vampyrus,Laurasiatheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_026542.1,,
Carnivora,coyote,Canis latrans,Laurasiatheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/NC_008093.1,,
Perissodactyla,donkey,Equus asinus,Laurasiatheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/OQ868402.1,,
Artiodactyla,Cow,Bos taurus,Laurasiatheria,Yes,Yes,NCBI,Placental,https://www.ncbi.nlm.nih.gov/nuccore/GU947021.1,,